"SpMax_L" "J_Dz(e)" "C%" "SdssC" "HyWi_B(m)" "LOC" "SM6_L" "F03[C-O]" "Me" "Mi" "SpPosA_B(p)" "B01[C-Br]" "B03[C-Cl]" "SpMax_A" "Psi_i_1d" "SdO" "TI2_L" "SpMax_B(m)" "Psi_i_A" "SM6_B(m)" "Y"
"1" 3.919 2.6909 31.4 0 3.106 2.55 9.002 "0" 0.96 1.142 1.201 "0" "0" 1.932 0.011 0 4.489 2.949 1.591 7.253 "1"
"2" 4.17 2.1144 30.8 0 2.461 1.393 8.723 "1" 0.989 1.144 1.104 "0" "0" 2.214 -0.204 0 1.542 3.315 1.967 7.257 "1"
"3" 3.932 3.2512 26.7 0 3.279 2.585 9.11 "0" 1.009 1.152 1.092 "0" "0" 1.942 -0.008 0 4.891 3.076 2.417 7.601 "1"
"4" 3 2.7098 20 0 2.1 0.918 6.594 "0" 1.108 1.167 1.024 "0" "0" 1.414 1.073 8.361 1.333 3.046 5 6.69 "1"
"5" 4.236 3.3944 29.4 -0.271 3.449 2.753 9.528 "2" 1.004 1.147 1.137 "0" "0" 1.985 -0.002 10.348 5.588 3.351 2.405 8.003 "1"
"6" 4.236 3.4286 28.6 -0.275 3.313 2.522 9.383 "1" 1.014 1.149 1.119 "0" "0" 1.98 -0.008 10.276 4.746 3.351 2.556 7.904 "1"
"7" 5 5.0476 11.1 0 2.872 0.722 9.657 "0" 1.092 1.153 1.125 "0" "0" 2 0.446 18.375 0.8 4.712 4.583 9.303 "1"
"8" 4.525 3.8301 31.6 -0.039 3.418 2.468 9.786 "5" 0.98 1.142 1.179 "0" "0" 2.119 -0.002 11.115 3.889 3.379 2.143 7.95 "1"
"9" 4.596 3.0777 44.4 0 2.97 0.875 9.54 "0" 0.968 1.115 1.328 "0" "0" 2.175 0.041 0 1.069 3.626 1.917 7.939 "1"
"10" 5.04 3.6112 41.2 -1.29 3.483 1.258 10.159 "8" 1.069 1.127 1.199 "0" "0" 2.323 0.005 30.959 1.711 3.888 3.5 8.706 "1"
"11" 4.91 2.7414 52.9 -0.302 3.364 0.629 10.06 "5" 1.018 1.098 1.279 "0" "0" 2.333 0.004 10.717 1.207 3.767 2.5 8.427 "1"
"12" 3.618 2.1906 29.4 0 2.333 1.522 7.853 "0" 0.959 1.147 1.178 "0" "0" 1.732 0.294 0 2.094 2.794 1.7 6.333 "1"
"13" 4.214 2.6272 30 0 2.523 1.459 8.755 "0" 0.959 1.145 1.213 "0" "0" 1.902 -0.181 0 2.052 2.998 1.722 6.77 "1"
"14" 3.732 2.3391 30 0 2.511 1.585 8.16 "0" 0.959 1.145 1.196 "0" "0" 1.802 -0.181 0 2.488 2.846 1.667 6.557 "1"
"15" 3.879 2.5951 31 0 2.908 2.281 8.743 "0" 0.96 1.143 1.202 "0" "0" 1.902 0.036 0 3.685 2.924 1.611 7.029 "1"
"16" 3.942 2.7719 31.6 0 3.44 2.777 9.207 "0" 0.969 1.141 1.22 "0" "1" 1.95 0.003 0 5.294 3.542 1.739 8.127 "1"
"17" 3.966 2.852 32 0 4.075 3.146 9.522 "0" 0.965 1.138 1.243 "1" "0" 1.97 0 0 6.909 6.866 1.603 11.578 "1"
"18" 3.732 2.3761 26.3 0 2.532 1.585 8.16 "0" 0.969 1.157 1.152 "0" "0" 1.802 -0.195 0 2.488 2.858 2 6.599 "1"
"19" 4 2.6264 23.1 0 2.167 0.811 8.318 "0" 0.972 1.166 1.182 "0" "0" 1.732 -0.522 0 1 2.991 2 6.579 "1"
"20" 2 1.1521 16.7 0 1.549 0 4.174 "0" 1.016 1.173 0.93 "0" "0" 1 -1.099 0 1 2.279 4 4.948 "1"
"21" 3.732 2.4062 27.8 0 2.555 1.585 8.16 "1" 0.979 1.15 1.134 "0" "0" 1.802 -0.205 0 2.488 2.874 2.333 6.649 "1"
"22" 4 2.3699 30 0 2.273 1 8.482 "0" 0.998 1.146 1.09 "0" "0" 2.17 0.34 0 1 3.302 2.083 7.174 "1"
"23" 3.414 2.2525 20 0 2.243 1 7.408 "0" 1.031 1.166 0.98 "0" "0" 1.618 -0.642 0 1.707 2.817 3.75 6.32 "1"
"24" 4.17 2.8042 23.1 0 2.449 0.971 8.597 "1" 1.015 1.16 1.044 "0" "0" 1.848 0.391 0 1.542 3.047 3.367 6.782 "1"
"25" 4.303 2.9558 25 0 2.608 1.459 8.815 "2" 1.005 1.156 1.056 "0" "0" 1.932 -0.229 0 1.745 3.083 3.056 6.914 "1"
"26" 3.414 2.6294 37.5 0 2.333 1 7.408 "1" 1.012 1.13 1.215 "0" "0" 1.618 -0.66 0 1.707 3.188 3.5 7.035 "1"
"27" 4.214 3.0057 25 0 2.608 1.459 8.755 "1" 1.005 1.156 1.104 "0" "0" 1.902 -0.236 0 2.052 3.087 2.722 6.989 "1"
"28" 3.848 2.8521 27.3 0 2.858 2 8.584 "1" 0.993 1.151 1.117 "0" "0" 1.879 -0.076 0 3.284 2.997 2.375 7.074 "1"
"29" 3.414 2.3729 30 0 2.263 1 7.408 "1" 0.998 1.146 1.142 "0" "0" 1.618 -0.589 9.174 1.707 3.038 3.125 6.735 "1"
"30" 4.393 3.6458 37 2.487 3.233 2.187 9.562 "1" 0.978 1.131 1.259 "0" "0" 2.048 0.013 10.02 3.684 3.39 2.303 8.029 "1"
"31" 4.562 3.3225 31.3 0.259 2.634 0.918 9.184 "2" 0.984 1.143 1.206 "0" "0" 2 -0.218 10.144 1.521 3.375 2.667 7.403 "1"
"32" 4 2.9193 30 0.167 2.279 0.811 8.318 "0" 0.998 1.146 1.195 "0" "0" 1.732 -0.596 9.444 1 3.261 3.167 7.097 "1"
"33" 4.694 3.646 30 -0.671 2.917 1.406 9.425 "4" 0.998 1.146 1.14 "0" "0" 2.101 -0.077 10.162 1.631 3.417 2.875 7.595 "1"
"34" 4.236 2.9879 33.3 -0.653 3.974 3.574 10.082 "2" 0.972 1.138 1.205 "0" "0" 1.996 0 10.389 10.108 3.329 1.987 8.414 "1"
"35" 4.17 3.4453 27.3 -0.245 2.512 0.971 8.597 "1" 1.028 1.151 1.112 "0" "0" 1.848 0.425 9.59 1.542 3.337 3.233 7.294 "1"
